area_fips,own_code,Industry_Code,agglvl_code,year,qtr,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,avg_annual_pay
51600,5,1025,73,2023,A,324,4150,194670897.00,46904.00
51600,5,54,74,2023,A,464,3394,466222880.00,137367.00
51600,5,541,75,2023,A,464,3394,466222880.00,137367.00
51600,5,62,74,2023,A,287,3808,183980132.00,48318.00
51107,0,10,70,2020,A,12933,165166,12087623391.00,73185.00
51107,1,10,71,2020,A,46,4792,499646931.00,104274.00
51107,1,102,72,2020,A,46,4792,499646931.00,104274.00
51107,1,1021,73,2020,A,22,1663,170883938.00,102772.00
51107,1,1023,73,2020,A,1,0,-,-
51107,1,1024,73,2020,A,2,31,3535126.00,113731.00
51107,1,54,74,2020,A,2,31,3535126.00,113731.00
51107,1,541,75,2020,A,2,31,3535126.00,113731.00
51107,2,10,71,2020,A,21,1044,45794507.00,43847.00
51107,2,101,72,2020,A,1,0,-,-
51107,2,102,72,2020,A,20,0,-,-
51107,2,1025,73,2020,A,3,0,-,-
51107,2,62,74,2020,A,1,0,-,-
51107,3,10,71,2020,A,244,21391,1278061596.00,59749.00
51107,3,102,72,2020,A,244,21391,1278061596.00,59749.00
51107,3,1021,73,2020,A,4,2264,142420833.00,62907.00
51107,3,1024,73,2020,A,1,0,-,-
51107,3,1025,73,2020,A,123,14060,774810446.00,55109.00
51107,3,54,74,2020,A,1,0,-,-
51107,3,541,75,2020,A,1,0,-,-
51107,3,62,74,2020,A,21,837,43923981.00,52452.00
51107,5,10,71,2020,A,12622,137940,10264120357.00,74410.00
51107,5,101,72,2020,A,1175,25140,2207172275.00,87795.00
51107,5,102,72,2020,A,11448,112799,8056948082.00,71427.00
51107,5,1021,73,2020,A,1712,29895,1388915793.00,46459.00
51107,5,1023,73,2020,A,907,5816,634740033.00,109135.00
51107,5,1024,73,2020,A,4357,32431,3118493053.00,96158.00
51107,5,1025,73,2020,A,1652,16012,880995176.00,55020.00
51107,5,54,74,2020,A,3576,21023,2462800615.00,117146.00
51107,5,541,75,2020,A,3576,21023,2462800615.00,117146.00
51107,5,62,74,2020,A,1421,13121,744901447.00,56771.00
51107,0,10,70,2021,A,13591,172484,12943519988.00,75042.00
51107,1,10,71,2021,A,46,5269,580508944.00,110167.00
51107,1,102,72,2021,A,46,5269,580508944.00,110167.00
51107,1,1021,73,2021,A,21,1672,177083358.00,105922.00
51107,1,1023,73,2021,A,0,0,-,-
51107,1,1024,73,2021,A,2,33,3739888.00,113617.00
51107,1,54,74,2021,A,2,33,3739888.00,113617.00
51107,1,541,75,2021,A,2,33,3739888.00,113617.00
51107,2,10,71,2021,A,21,972,45656339.00,46976.00
51107,2,101,72,2021,A,1,0,-,-
51107,2,102,72,2021,A,20,0,-,-
51107,2,1025,73,2021,A,3,0,-,-
51107,2,62,74,2021,A,1,0,-,-
51107,3,10,71,2021,A,242,21679,1361101357.00,62784.00
51107,3,102,72,2021,A,242,21679,1361101357.00,62784.00
51107,3,1021,73,2021,A,4,2242,148334637.00,66177.00
51107,3,1024,73,2021,A,1,0,-,-
51107,3,1025,73,2021,A,123,13973,819392772.00,58643.00
51107,3,54,74,2021,A,1,0,-,-
51107,3,541,75,2021,A,1,0,-,-
51107,3,62,74,2021,A,21,877,46729795.00,53284.00
51107,5,10,71,2021,A,13282,144564,10956253348.00,75788.00
51107,5,101,72,2021,A,1229,26108,2208446456.00,84589.00
51107,5,102,72,2021,A,12054,118456,8747806892.00,73849.00
51107,5,1021,73,2021,A,1753,31017,1567467688.00,50536.00
51107,5,1023,73,2021,A,983,5900,711274276.00,120548.00
51107,5,1024,73,2021,A,4587,33130,3274282071.00,98833.00
51107,5,1025,73,2021,A,1751,17765,1013046132.00,57024.00
51107,5,54,74,2021,A,3794,21845,2569689227.00,117631.00
51107,5,541,75,2021,A,3794,21845,2569689227.00,117631.00
51107,5,62,74,2021,A,1511,14605,855000112.00,58542.00
51107,0,10,70,2022,A,14965,180628,14193053336.00,78576.00
51107,1,10,71,2022,A,49,6093,712974967.00,117009.00
51107,1,102,72,2022,A,49,6093,712974967.00,117009.00
