Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
Dallas County Texas,22,Utilities,All establishments,All establishments,2020,88,753684,246993,5085,
Dallas County Texas,23,Construction,All establishments,All establishments,2020,4449,5967128,1591184,89581,
Dallas County Texas,31-33,Manufacturing,All establishments,All establishments,2020,2211,7268406,2162988,104206,
Dallas County Texas,42,Wholesale trade,All establishments,All establishments,2020,4315,6335522,1639704,87919,
Dallas County Texas,44-45,Retail trade,All establishments,All establishments,2020,7743,4320514,1101962,130786,
Dallas County Texas,48-49,Transportation and warehousing,All establishments,All establishments,2020,2089,8564688,2378241,135039,
Dallas County Texas,51,Information,All establishments,All establishments,2020,1604,7040173,2173854,63955,
Dallas County Texas,52,Finance and insurance,All establishments,All establishments,2020,5159,11760789,3466840,105568,
Dallas County Texas,53,Real estate and rental and leasing,All establishments,All establishments,2020,4236,3086286,868639,43368,
Dallas County Texas,54,Professional scientific and technical services,All establishments,All establishments,2020,10093,15411211,3719130,144365,
Dallas County Texas,55,Management of companies and enterprises,All establishments,All establishments,2020,835,8203732,2430799,71792,
Dallas County Texas,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,3837,5598199,1449841,146525,
Dallas County Texas,61,Educational services,All establishments,All establishments,2020,844,1523264,373989,33367,
Dallas County Texas,62,Health care and social assistance,All establishments,All establishments,2020,7861,10404454,2572406,184652,
Dallas County Texas,71,Arts entertainment and recreation,All establishments,All establishments,2020,837,576589,156399,18950,
Dallas County Texas,72,Accommodation and food services,All establishments,All establishments,2020,6263,2530631,769586,140141,
Dallas County Texas,81,Other services (except public administration),All establishments,All establishments,2020,5281,2347450,659209,54541,
Dallas County Texas,99,Industries not classified,All establishments,All establishments,2020,94,4929,1158,155,
Dallas County Texas,0,,All establishments,All establishments,2021,69959,110554872,27969774,1506838,Total for all sectors
Dallas County Texas,11,,All establishments,All establishments,2021,22,3037,787,74,Agriculture forestry fishing and hunting
Dallas County Texas,21,,All establishments,All establishments,2021,300,627329,164171,3628,Mining quarrying and oil and gas extraction
Dallas County Texas,22,,All establishments,All establishments,2021,91,821727,269058,4967,Utilities
Dallas County Texas,23,,All establishments,All establishments,2021,4589,6233802,1566242,84370,Construction
Dallas County Texas,31-33,,All establishments,All establishments,2021,2197,7431312,2156256,102992,Manufacturing
Dallas County Texas,42,,All establishments,All establishments,2021,4351,6682817,1580928,84101,Wholesale trade
Dallas County Texas,44-45,,All establishments,All establishments,2021,7804,4914301,1119539,128476,Retail trade
Dallas County Texas,48-49,,All establishments,All establishments,2021,2363,9001015,2213971,135786,Transportation and warehousing
Dallas County Texas,51,,All establishments,All establishments,2021,1627,7661135,2208101,63193,Information
Dallas County Texas,52,,All establishments,All establishments,2021,5227,13154118,3908909,108425,Finance and insurance
Dallas County Texas,53,,All establishments,All establishments,2021,4512,3549062,925563,42766,Real estate and rental and leasing
Dallas County Texas,54,,All establishments,All establishments,2021,10476,16669568,3660032,142004,Professional scientific and technical services
Dallas County Texas,55,,All establishments,All establishments,2021,807,8598450,2411452,70611,Management of companies and enterprises
Dallas County Texas,56,,All establishments,All establishments,2021,3947,6285432,1396721,141160,Administrative and support and waste management and remediation services
Dallas County Texas,61,,All establishments,All establishments,2021,868,1605345,371275,30920,Educational services
Dallas County Texas,62,,All establishments,All establishments,2021,8050,11177463,2637984,182912,Health care and social assistance
Dallas County Texas,71,,All establishments,All establishments,2021,875,617180,134396,13965,Arts entertainment and recreation
Dallas County Texas,72,,All establishments,All establishments,2021,6318,3012230,625120,116913,Accommodation and food services
Dallas County Texas,81,,All establishments,All establishments,2021,5440,2498964,616581,49351,Other services (except public administration)
Dallas County Texas,99,,All establishments,All establishments,2021,95,10585,2688,224,Industries not classified
